label,text,lang
1,santander debido a una actualizacion hemos tenido que suspender su cuenta para desbloquearlo http // particulares bancosantandcer URL,es
1,call be from +XX number also a tell sign because legitimate singapore number call would be without +XX prefix +XX XXXX XXXXlazada never share your otp lazada will not request otp from customer otp to logiclazada never share your otp lazada will not request otp from customer otp to reset password for more info visit http //,en
0,so consigo lembrar do tidinho la do *** usando o discurso dele em uma musica 🥴,pt
0,Petit débrief de Maroc 🇲🇦 - Géorgie 🇬🇪,fr
1,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,en
0,"ドル円(USDJPY)先出し本日のドル円相場解説を発表します昨日の先出しもドンピシャでしたねそろそろくろ２号が現れる…？「負け続けている人」「勝ちたい人」私についてきてください欲しい人は『いいね・RT』本日は” 600 ""で、twitter内で公開します投資 GBPJPY 仮想通貨",ja
1,max sharktank judge back million in this simple weight loss product URL check out this quick article stopXend,en
0,don't call me baby again u got ur reasons,en
1,hermesuk our driver be unable to deliver your item yesterday you can confirm your redelivery at http // URL URL,en
1,yono account have be suspend today please update your pan card immediately via link http // sbiikym-in-net.preview URL,en
